metric,x,effect,ci_lo,ci_hi
richness,-18.667548267654055,-0.5353576112296248,-0.7582861779289914,-0.3124290445302581
richness,-18.441770254782682,-0.5328827918952291,-0.755944156111251,-0.3098214276792073
richness,-18.21599224191131,-0.5302973797892665,-0.7536375298258824,-0.3069572297526506
richness,-17.990214229039935,-0.5275998978309362,-0.751358442063838,-0.30384135359803444
richness,-17.76443621616856,-0.5247888689394368,-0.7490987866212213,-0.3004789512576522
richness,-17.538658203297185,-0.5218628160339677,-0.7468502565463231,-0.29687537552161225
richness,-17.31288019042581,-0.5188202620337274,-0.7446043919142755,-0.29303613215317936
richness,-17.087102177554435,-0.5156597298579153,-0.742352626181636,-0.28896683353419456
richness,-16.86132416468306,-0.5123797424257301,-0.7400863304869285,-0.2846731543645318
richness,-16.63554615181169,-0.508978822656371,-0.737796855385093,-0.2801607899276489
richness,-16.409768138940315,-0.5054554934690368,-0.7354755696273878,-0.2754354173106859
richness,-16.183990126068938,-0.5018082777829264,-0.7331138957180177,-0.270502659847835
richness,-15.958212113197565,-0.4980356985172392,-0.7307033420902186,-0.26536805494425986
richness,-15.73243410032619,-0.49413627859117365,-0.7282355318444835,-0.26003702533786377
richness,-15.506656087454816,-0.49010854092392914,-0.7257022280780948,-0.25451485376976346
richness,-15.280878074583441,-0.4859510084347043,-0.7230953559070764,-0.2488066609623322
richness,-15.055100061712066,-0.48166220404269816,-0.7204070213391193,-0.24291738674627703
richness,-14.829322048840693,-0.47724065066710997,-0.7176295271994895,-0.2368517741347305
richness,-14.603544035969318,-0.4726848712271384,-0.7147553863425935,-0.23061435611168335
richness,-14.377766023097944,-0.4679933886419826,-0.7117773324011832,-0.22420944488278197
richness,-14.15198801022657,-0.4631647258308416,-0.7086883283347376,-0.21764112332694563
richness,-13.926209997355194,-0.45819740571291406,-0.7054815730400813,-0.21091323838574683
richness,-13.70043198448382,-0.45308995120739937,-0.7021505062823735,-0.20402939613242524
richness,-13.474653971612446,-0.4478408852334962,-0.6986888121947363,-0.19699295827225605
richness,-13.24887595874107,-0.44244873071040347,-0.6950904215813656,-0.1898070398394413
richness,-13.023097945869697,-0.4369120105573205,-0.6913495132430866,-0.1824745078715544
richness,-12.797319932998322,-0.4312292476934459,-0.6874605145270074,-0.17499798085988433
richness,-12.571541920126949,-0.42539896503797886,-0.6834181012839461,-0.16737982879201163
richness,-12.345763907255574,-0.4194196855101184,-0.6792171973992767,-0.1596221736209601
richness,-12.119985894384198,-0.4132899320290633,-0.674852974045257,-0.15172689001286954
richness,-11.894207881512825,-0.40700822751401255,-0.670320848786059,-0.14369560624196615
richness,-11.66842986864145,-0.4005730948841652,-0.6656164846508795,-0.13552970511745088
richness,-11.442651855770077,-0.3939830570587205,-0.6607357892757821,-0.1272303248416588
richness,-11.216873842898702,-0.3872366369568768,-0.6556749142013665,-0.11879835971238711
richness,-10.991095830027326,-0.38033235749783356,-0.6504302544009982,-0.1102344605946689
richness,-10.765317817155953,-0.3732687416007896,-0.6449984481030833,-0.10153903509849588
richness,-10.539539804284578,-0.3660446374264622,-0.6393767714000094,-0.09271250345291504
richness,-10.313761791413205,-0.3586626740682187,-0.633567314426926,-0.08375803370951135
richness,-10.08798377854183,-0.3511279199308135,-0.6275752986307519,-0.07468054123087503
richness,-9.862205765670454,-0.34344548407419123,-0.6214061327703359,-0.06548483537804661
richness,-9.63642775279908,-0.33562047555829577,-0.6150653422000443,-0.056175608916547326
richness,-9.410649739927706,-0.3276580034430717,-0.6085585490578411,-0.04675745782830226
richness,-9.184871727056333,-0.31956317678846347,-0.601891453841749,-0.03723489973517796
richness,-8.959093714184956,-0.31134110465441484,-0.5950698182791718,-0.027612391029657846
richness,-8.733315701313582,-0.3029968961008706,-0.5880994494022496,-0.017894342799491647
richness,-8.50753768844221,-0.29453566018777494,-0.5809861847507114,-0.008085135624838424
richness,-8.281759675570836,-0.2859625059750719,-0.5737358786315263,0.0018108666813824725
richness,-8.055981662699459,-0.277282542522706,-0.5663543893719164,0.01178930432650438
richness,-7.830203649828086,-0.2685008788906217,-0.5588475675089877,0.021845809727744248
richness,-7.604425636956712,-0.2596226241387629,-0.5512212448653191,0.03197599658779321
richness,-7.378647624085335,-0.2506528873270742,-0.5434812244653371,0.04217544981118865
richness,-7.152869611213962,-0.2415967775154999,-0.5356332712521865,0.05243971622118676
richness,-6.927091598342589,-0.23245940376398422,-0.5276831035691378,0.06276429604116945
richness,-6.701313585471212,-0.22324587513247116,-0.5196363853733323,0.07314463510839
richness,-6.4755355725998385,-0.21396130068090569,-0.5114987191529352,0.08357611779112384
richness,-6.249757559728465,-0.20461078946923153,-0.5032756395215321,0.09405406058306906
richness,-6.023979546857088,-0.19519945055739316,-0.4949726074659546,0.10457370635116833
richness,-5.798201533985715,-0.18573239300533498,-0.48659500522563826,0.11513021921496833
richness,-5.572423521114342,-0.17621472587300124,-0.47814813178319665,0.12571868003719416
richness,-5.346645508242968,-0.1666515582203362,-0.46963719894714173,0.1363340825064693
richness,-5.120867495371591,-0.15704799910728412,-0.4610673280086463,0.14697132979407806
richness,-4.895089482500218,-0.14740915759378942,-0.45244354695497985,0.157625231767401
richness,-4.669311469628845,-0.13774014273979635,-0.44377078822277344,0.16829050274318075
richness,-4.443533456757468,-0.12804606360524898,-0.435053886974647,0.178961759764149
richness,-4.2177554438860945,-0.11833202925009204,-0.4262975798829777,0.18963352138279363
richness,-3.991977431014721,-0.10860314873426949,-0.41750650440474857,0.20030020693620956
richness,-3.7661994181433442,-0.09886453111772571,-0.4086851985315384,0.210956136296087
richness,-3.540421405271971,-0.08912128546040515,-0.39983810099879175,0.22159553007798144
richness,-3.3146433924005976,-0.07937852082225202,-0.39096955193862293,0.2322125102941189
richness,-3.0888653795292242,-0.06964134626321065,-0.38208379396054165,0.24280110143412031
richness,-2.8630873666578474,-0.05991487084322489,-0.3731849736446904,0.2533552319582406
richness,-2.637309353786474,-0.050204203622239915,-0.3642771434324787,0.26386873618799883
richness,-2.4115313409151007,-0.040514453660199325,-0.3553642638998783,0.2743353565794796
richness,-2.185753328043724,-0.030850730017047582,-0.34645020639917845,0.2847487463650833
richness,-1.9599753151723505,-0.02121814175272915,-0.33753875605563305,0.2951024725501748
richness,-1.7341973023009771,-0.01162179792718835,-0.3286336151062488,0.30539001925187204
richness,-1.5084192894296002,-0.0020668076003689403,-0.319738406568922,0.31560479136818415
richness,-1.282641276558227,0.007441720167783907,-0.3108566782312727,0.3257401185668405
richness,-1.0568632636868536,0.016898676317326587,-0.30199190694982797,0.3357892595844812
richness,-0.8310852508154767,0.02629895178831453,-0.29314750325172734,0.3457454068283564
richness,-0.6053072379441033,0.03563743752080353,-0.284326816232795,0.3556016912744021
richness,-0.37952922507273,0.044909024454848984,-0.2755331387477349,0.3653511876574329
richness,-0.15375121220135668,0.05410860353050699,-0.26676971289028717,0.3749869199513012
richness,0.07202680067002021,0.0632310656878332,-0.25803973576350814,0.38450186713917456
richness,0.29780481354139354,0.07227130186688313,-0.24934636554285033,0.3938889692766166
richness,0.5235828264127669,0.08122420300771237,-0.2406927278374884,0.40314113385291317
richness,0.7493608392841438,0.0900846600503772,-0.23208192235832403,0.4122512424590784
richness,0.9751388521555171,0.0988475639349326,-0.22351702990436062,0.4212121577742258
richness,1.2009168650268904,0.10750780560143472,-0.21500111968263866,0.43001673088550807
richness,1.4266948778982673,0.11606027598993919,-0.20653725698074038,0.43865780896061873
richness,1.6524728907696407,0.12449986604050164,-0.19812851121496053,0.4471282432959638
richness,1.878250903641014,0.13282146669317757,-0.18977796438168676,0.4554208977680419
richness,2.1040289165123873,0.14101996888802318,-0.18148871994431467,0.463528657720361
richness,2.329806929383764,0.14909026356509383,-0.17326391219321216,0.47144443932339986
richness,2.5555849422551375,0.15702724166444526,-0.1651067161218362,0.4791611994507267
richness,2.781362955126511,0.16482579412613307,-0.15702035786817808,0.48667194612044423
richness,3.0071409679978878,0.17248081189021336,-0.1490081257772649,0.49396974955769163
richness,3.232918980869261,0.1799871858967413,-0.1410733821475575,0.5010477539410401
richness,3.4586969937406344,0.18733980708577297,-0.13321957573176302,0.507899189903309
richness,3.6844750066120113,0.19453356639736397,-0.1254502550709219,0.5145173878656498
richness,3.9102530194833847,0.20156335477156995,-0.11776908274960368,0.5208957922927435
richness,4.136031032354758,0.20842406314844641,-0.11017985066976882,0.5270279769666617
richness,4.361809045226135,0.21511062907924958,-0.10268646629250691,0.5329077244510061
richness,4.587587058097508,0.22162078678722932,-0.09529119202628325,0.5385327656007419
richness,4.8133650709688816,0.2279566053372288,-0.08799367040053083,0.5439068810749884
richness,5.039143083840255,0.23412052668368977,-0.08079349288903032,0.5490345462564099
richness,5.264921096711632,0.24011499278105466,-0.07369043907946796,0.5539204246415773
richness,5.490699109583005,0.24594244558376505,-0.0666844749738652,0.5585693661413953
richness,5.7164771224543784,0.2516053270462633,-0.05977575190252893,0.5629864059950556
richness,5.942255135325755,0.2571060791229914,-0.0529646060110841,0.5671767642570669
richness,6.168033148197129,0.2624471437683912,-0.046251558279028826,0.5711458458158112
richness,6.3938111610685056,0.26763096293690497,-0.039637315026427866,0.5748992409002378
richness,6.619589173939879,0.27265997858297464,-0.033122768862739405,0.5784427260286886
richness,6.845367186811252,0.2775366326610422,-0.026709000028283025,0.5817822653503675
richness,7.071145199682626,0.28226336712554984,-0.02039727807444308,0.5849240123255428
richness,7.296923212553999,0.2868426239309394,-0.014189063823299541,0.5878743116851783
richness,7.522701225425372,0.2912768450316532,-0.008086011540904381,0.5906397016042108
richness,7.748479238296753,0.29556847238213313,-0.002089971250858691,0.5932269160151249
richness,7.974257251168126,0.29971994793682116,0.0037970088938718005,0.5956428869797705
richness,8.2000352640395,0.30373371365015933,0.00957268027283048,0.5978947470274882
richness,8.425813276910873,0.30761221147658974,0.015234591596570313,0.5999898313566092
richness,8.651591289782246,0.3113578833705544,0.020780086956811994,0.6019356797842969
richness,8.87736930265362,0.3149731712864956,0.02620630425637105,0.6037400383166202
richness,9.103147315524993,0.31846051717885504,0.03151017416085089,0.6054108601968592
richness,9.328925328396373,0.32182236300207495,0.03668841972856712,0.6069563062755827
richness,9.554703341267746,0.3250611507105972,0.041737556889859084,0.6083847445313353
richness,9.78048135413912,0.328179322258864,0.04665389596143765,0.6097047485562903
richness,10.006259367010493,0.33117931960131725,0.05143354439512937,0.6109250948075051
richness,10.232037379881866,0.33406358469239916,0.056072410972632825,0.6120547584121655
richness,10.45781539275324,0.3368345594865516,0.060566211667838876,0.6131029073052643
richness,10.68359340562462,0.3394946859382168,0.06491047740493888,0.6140788944714948
richness,10.909371418495994,0.34204640600183667,0.06910056394280745,0.6149922480608658
richness,11.135149431367367,0.34449216163185326,0.07313166411281313,0.6158526591508934
richness,11.36092744423874,0.3468343947827085,0.07699882262695296,0.6166699669384641
richness,11.586705457110114,0.34907554740884467,0.08069695365473062,0.6174541411629587
richness,11.812483469981487,0.3512180614647036,0.08422086133921763,0.6182152615901895
richness,12.03826148285286,0.35326437890472756,0.08756526338416254,0.6189634944252926
richness,12.26403949572424,0.35521694168335843,0.09072481779396119,0.6197090655727557
richness,12.489817508595614,0.35707819175503824,0.09369415278636684,0.6204622307237097
richness,12.715595521466987,0.358850571074209,0.09646789982404241,0.6212332423243756
richness,12.94137353433836,0.36053652159531285,0.09904072962625626,0.6220323135643695
richness,13.167151547209734,0.3621384852727918,0.10140739092772544,0.6228695796178582
richness,13.392929560081107,0.3636589040610879,0.10356275165030959,0.6237550564718662
richness,13.618707572952488,0.3651002199146432,0.10550184204830015,0.6246985977809862
richness,13.844485585823861,0.3664648747878998,0.10721989928372055,0.625709850292079
richness,14.070263598695234,0.3677553106352995,0.10871241278932886,0.6267982084812701
richness,14.296041611566608,0.3689739694112846,0.10997516968944321,0.6279727691331259
richness,14.521819624437981,0.3701232930702969,0.11100429947799184,0.629242286662602
richness,14.747597637309354,0.3712057235667788,0.11179631710485077,0.6306151300287068
richness,14.973375650180728,0.372223702855172,0.1123481636003878,0.6320992421099562
richness,15.199153663052108,0.37317967288991866,0.11265724337792221,0.6337021024019152
richness,15.424931675923482,0.3740760756254608,0.11272145739663142,0.6354306938542902
richness,15.650709688794855,0.3749153530162405,0.11253923144356642,0.6372914745889147
richness,15.876487701666228,0.37569994701669984,0.11210953890100872,0.639290355132391
richness,16.1022657145376,0.3764322995812807,0.11143191750048598,0.6414326816620755
richness,16.328043727408975,0.37711485266442535,0.11050647972151345,0.6437232256073373
richness,16.55382174028035,0.3777500482205757,0.10933391666418696,0.6461661797769644
richness,16.77959975315173,0.37834032820417374,0.10791549540176626,0.6487651610065812
richness,17.005377766023102,0.3788881345696615,0.10625304999366159,0.6515232191456615
richness,17.231155778894475,0.37939590927148115,0.1043489665023895,0.6544428520405727
richness,17.45693379176585,0.37986609426407475,0.10220616250266223,0.6575260260254873
richness,17.682711804637222,0.3803011315018842,0.09982806169084019,0.6607742013129283
richness,17.908489817508595,0.3807034629393515,0.09721856429434839,0.6641883615843546
richness,18.134267830379976,0.38107553053091886,0.09438201404117141,0.6677690470206663
richness,18.36004584325135,0.38141977623102835,0.09132316247898364,0.6715163899830731
richness,18.585823856122722,0.3817386419941218,0.08804713143345577,0.6754301525547878
richness,18.811601868994096,0.3820345697746414,0.08455937436885469,0.679509765180428
richness,19.03737988186547,0.3823100015270291,0.08086563736538188,0.6837543656886763
richness,19.263157894736842,0.3825673792057271,0.0769719203615829,0.6881628380498712
shannon_h,-1.946462395145458,-0.1496654090097416,-0.9761263133810212,0.676795495361538
shannon_h,-1.9321067323819323,-0.1366677538525714,-0.9793113012615406,0.7059757935563977
shannon_h,-1.9177510696184066,-0.12377000628070435,-0.9827450686790676,0.735205056117659
shannon_h,-1.9033954068548808,-0.11097482080201732,-0.9862971696683556,0.764347528064321
shannon_h,-1.889039744091355,-0.0982848519243863,-0.989856084988144,0.7932863811393714
shannon_h,-1.8746840813278292,-0.08570275415568782,-0.9933271027915428,0.8219215944801671
shannon_h,-1.8603284185643034,-0.07323118200379863,-0.9966303324524565,0.8501679684448592
shannon_h,-1.8459727558007777,-0.06087278997659506,-0.9996988874171537,0.8779533074639636
shannon_h,-1.831617093037252,-0.04863023258195331,-1.0024772507738693,0.9052167856099627
shannon_h,-1.8172614302737262,-0.036506164327750126,-1.0049198230007519,0.9319074943452517
shannon_h,-1.8029057675102005,-0.024503239721861688,-1.0069896428175764,0.957983163373853
shannon_h,-1.7885501047466748,-0.012624113272164643,-1.0086572674508594,0.98340904090653
shannon_h,-1.774194441983149,-0.0008714394865352616,-1.00989979659556,1.0081569176224896
shannon_h,-1.7598387792196233,0.010752127127149853,-1.0107000239669872,1.0322042782212868
shannon_h,-1.7454831164560973,0.022243932061014587,-1.011045700924991,1.0555335650470201
shannon_h,-1.7311274536925716,0.033601320807182096,-1.0109288977775899,1.0781315393919542
shannon_h,-1.7167717909290459,0.04482163885777598,-1.0103454497464335,1.0999887274619855
shannon_h,-1.7024161281655201,0.05590223170491992,-1.009294476022966,1.1210989394328057
shannon_h,-1.6880604654019944,0.06684044484073753,-1.007777961755247,1.141458851436722
shannon_h,-1.6737048026384687,0.07763362375735229,-1.0058003941222255,1.16106764163693
shannon_h,-1.659349139874943,0.08827911394688782,-1.0033684448465692,1.179926672740345
shannon_h,-1.644993477111417,0.09877426090146771,-1.000490692559557,1.1980392143624923
shannon_h,-1.6306378143478915,0.10911641011321517,-0.9971773793638985,1.2154101995903288
shannon_h,-1.6162821515843655,0.11930290707425431,-0.99344019675087,1.2320460108993787
shannon_h,-1.6019264888208398,0.12933109727670827,-0.9892920967279402,1.2479542912813568
shannon_h,-1.587570826057314,0.13919832621270078,-0.9847471246145059,1.2631437770399074
shannon_h,-1.5732151632937883,0.14890193937435528,-0.9798202704786353,1.277624149227346
shannon_h,-1.5588595005302626,0.1584392822537954,-0.9745273366283527,1.2914059011359436
shannon_h,-1.5445038377667368,0.1678077003431448,-0.9688848189475359,1.3045002196338256
shannon_h,-1.530148175003211,0.1770045391345269,-0.9629098001882099,1.3169188784572639
shannon_h,-1.5157925122396851,0.1860271441200655,-0.9566198536061444,1.3286741418462755
shannon_h,-1.5014368494761594,0.19487286079188382,-0.9500329555622545,1.3397786771460223
shannon_h,-1.4870811867126337,0.2035390346421055,-0.9431674059144679,1.350245475198679
shannon_h,-1.472725523949108,0.2120230111628542,-0.9360417551986726,1.3600877775243811
shannon_h,-1.4583698611855822,0.22032213584625343,-0.9286747377474893,1.3693190094399963
shannon_h,-1.4440141984220565,0.22843375418442669,-0.921085210025708,1.3779527183945612
shannon_h,-1.4296585356585307,0.23635521166949772,-0.9132920935744285,1.386002516913424
shannon_h,-1.4153028728950048,0.24408385379359013,-0.9053143220549176,1.3934820296420978
shannon_h,-1.4009472101314793,0.25161702604882696,-0.8971707919702162,1.4004048440678702
shannon_h,-1.3865915473679533,0.25895207392733244,-0.8888803167194262,1.4067844645740912
shannon_h,-1.3722358846044278,0.2660863429212295,-0.8804615837080239,1.4126342695504828
shannon_h,-1.3578802218409018,0.2730171785226423,-0.8719331142987103,1.417967471343995
shannon_h,-1.3435245590773761,0.27974192622369387,-0.8633132264424254,1.422797078889813
shannon_h,-1.3291688963138504,0.2862579315165082,-0.8546199998789901,1.4271358629120063
shannon_h,-1.3148132335503246,0.2925625398932085,-0.8458712438422751,1.4309963236286922
shannon_h,-1.300457570786799,0.29865309684591856,-0.8370844672463377,1.434390660938175
shannon_h,-1.286101908023273,0.304526947866762,-0.828276851367145,1.437330747100669
shannon_h,-1.2717462452597474,0.31018143844786195,-0.8194652250697408,1.4398281019654648
shannon_h,-1.2573905824962215,0.31561391408134254,-0.8106660426632522,1.4418938708259372
shannon_h,-1.243034919732696,0.32082172025932687,-0.8018953644963003,1.443538805014954
shannon_h,-1.22867925696917,0.32580220247393876,-0.7931688404333058,1.4447732453811835
shannon_h,-1.2143235942056443,0.3305527062173017,-0.7845016963780509,1.4456071088126543
shannon_h,-1.1999679314421186,0.33507057698153914,-0.7759087240347498,1.4460498779978281
shannon_h,-1.1856122686785928,0.3393531602587748,-0.7674042741189456,1.4461105946364952
shannon_h,-1.171256605915067,0.3433978015411321,-0.7590022532507468,1.445797856333011
shannon_h,-1.1569009431515411,0.3472018463207348,-0.7507161247814488,1.4451198174229183
shannon_h,-1.1425452803880156,0.3507626400897062,-0.7425589138213498,1.444084194000762
shannon_h,-1.1281896176244897,0.35407752834017003,-0.7345432167517376,1.4426982734320777
shannon_h,-1.113833954860964,0.35714385656424996,-0.7266812155175653,1.4409689286460652
shannon_h,-1.0994782920974382,0.35995897025406914,-0.7189846970092968,1.438902637517435
shannon_h,-1.0851226293339125,0.36252021490175157,-0.7114650778528527,1.436505507656356
shannon_h,-1.0707669665703867,0.3648249359994205,-0.7041334349354869,1.4337833069343278
shannon_h,-1.0564113038068608,0.3668704790391997,-0.6970005420028007,1.4307415000812
shannon_h,-1.0420556410433353,0.3686541895132126,-0.6900769126678689,1.4273852916942942
shannon_h,-1.0276999782798093,0.3701734129135827,-0.6833728501775249,1.4237196760046904
shannon_h,-1.0133443155162838,0.3714254947324337,-0.6768985042829999,1.4197494937478674
shannon_h,-0.9989886527527579,0.37240778046188916,-0.6706639355620109,1.4154794964857893
shannon_h,-0.9846329899892321,0.3731179632036559,-0.6646784948190352,1.410914421226347
shannon_h,-0.9702773272257064,0.3735577770208462,-0.6589436382921892,1.4060591923338817
shannon_h,-0.9559216644621806,0.37373156304844674,-0.6534561361598885,1.400919262256782
shannon_h,-0.9415660016986549,0.3736437058726426,-0.6482132537544997,1.3955006654997848
shannon_h,-0.9272103389351292,0.37329859007961824,-0.64321280405416,1.3898099842133964
shannon_h,-0.9128546761716034,0.3727006002555585,-0.638453113329018,1.3838543138401351
shannon_h,-0.8984990134080775,0.37185412098664816,-0.6339329873402157,1.377641229313512
shannon_h,-0.8841433506445517,0.3707635368590719,-0.6296516780561052,1.3711787517742489
shannon_h,-0.869787687881026,0.3694332324590145,-0.6256088508462656,1.3644753157642946
shannon_h,-0.8554320251175003,0.36786759237266065,-0.6218045521116211,1.3575397368569424
shannon_h,-0.8410763623539745,0.366071001186195,-0.618239177308193,1.350381179680583
shannon_h,-0.8267206995904488,0.36404784348580266,-0.6149134393227678,1.343009126294373
shannon_h,-0.8123650368269231,0.3618025038576679,-0.6118283371608877,1.3354333448762234
shannon_h,-0.7980093740633973,0.35933936688797574,-0.6089851249110678,1.3276638586870193
shannon_h,-0.7836537112998716,0.35666281716291104,-0.6063852809539212,1.3197109152797433
shannon_h,-0.7692980485363456,0.35377723926865823,-0.6040304773909032,1.3115849559282196
shannon_h,-0.7549423857728199,0.35068701779140216,-0.6019225496745997,1.303296585257404
shannon_h,-0.7405867230092942,0.3473965373173276,-0.6000634664308129,1.2948565410654682
shannon_h,-0.7262310602457684,0.3439101824326194,-0.5984552994720841,1.2862756643373228
shannon_h,-0.7118753974822427,0.34023233772346206,-0.5971001940126452,1.2775648694595694
shannon_h,-0.697519734718717,0.33636738777604047,-0.596000339106007,1.2687351146580879
shannon_h,-0.6831640719551912,0.3323197171765395,-0.5951579383383533,1.2597973726914322
shannon_h,-0.6688084091916655,0.32809371051114355,-0.5945751808234985,1.2507626018457856
shannon_h,-0.6544527464281396,0.3236937523660376,-0.5942542125581893,1.2416417172902645
shannon_h,-0.6400970836646138,0.3191242273274064,-0.5941971082098337,1.2324455628646467
shannon_h,-0.6257414209010881,0.3143895199814347,-0.5944058434221091,1.2231848833849785
shannon_h,-0.6113857581375624,0.3094940149143071,-0.5948822677371035,1.2138702975657178
shannon_h,-0.5970300953740366,0.3044420967122084,-0.59562807824544,1.2045122716698566
shannon_h,-0.5826744326105109,0.29923814996132353,-0.5966447940879593,1.1951210940106065
shannon_h,-0.5683187698469852,0.2938865592478368,-0.5979337319437258,1.1857068504393995
shannon_h,-0.5539631070834594,0.28839170915793333,-0.5994959826490659,1.1762794009649324
shannon_h,-0.5396074443199337,0.2827579842777979,-0.6013323891008238,1.1668483576564197
shannon_h,-0.5252517815564077,0.27698976919361484,-0.6034435256036964,1.157423063990926
shannon_h,-0.510896118792882,0.2710914484915692,-0.6058296788261917,1.14801257580933
shannon_h,-0.49654045602935626,0.2650674067578458,-0.6084908305321849,1.1386256440478766
shannon_h,-0.4821847932658305,0.2589220285786292,-0.6114266422550613,1.1292706994123196
shannon_h,-0.4678291305023048,0.25265969854010417,-0.6146364420788764,1.1199558391590847
shannon_h,-0.45347346773877906,0.24628480122845536,-0.6181192136857798,1.1106888161426907
shannon_h,-0.4391178049752533,0.23980172122986787,-0.6218735878210574,1.101477030280793
shannon_h,-0.4247621422117276,0.23321484313052607,-0.6258978363166597,1.0923275225777118
shannon_h,-0.41040647944820163,0.22652855151661475,-0.6301898688010404,1.0832469718342699
shannon_h,-0.3960508166846759,0.21974723097431875,-0.6347472322077514,1.074241694156389
shannon_h,-0.38169515392115017,0.21287526608982277,-0.6395671131777455,1.065317645357391
shannon_h,-0.36733949115762443,0.20591704144931164,-0.6446463434310282,1.0564804263296514
shannon_h,-0.3529838283940987,0.19887694163897016,-0.6499814081625355,1.0477352914404758
shannon_h,-0.33862816563057296,0.1917593512449827,-0.6555684574952719,1.0390871599852374
shannon_h,-0.32427250286704723,0.18456865485353433,-0.6614033210012563,1.030540630708325
shannon_h,-0.3099168401035215,0.17730923705080961,-0.6674815252781224,1.0220999993797417
shannon_h,-0.29556117733999576,0.16998548242299366,-0.673798314546731,1.0137692793927184
shannon_h,-0.2812055145764698,0.16260177555627053,-0.6803486742133102,1.0055522253258513
shannon_h,-0.26684985181294407,0.15516250103682577,-0.6871273573188048,0.9974523593924562
shannon_h,-0.25249418904941834,0.14767204345084345,-0.6941289137786635,0.9894730006803503
shannon_h,-0.2381385262858926,0.14013478738450863,-0.7013477222984699,0.981617297067487
shannon_h,-0.22378286352236687,0.132555117424006,-0.7087780248348805,0.9738882596828926
shannon_h,-0.20942720075884114,0.12493741815552041,-0.7164139634573765,0.9662887997684173
shannon_h,-0.1950715379953154,0.1172860741652364,-0.7242496194544762,0.958821767784949
shannon_h,-0.18071587523178967,0.10960547003933878,-0.7322790545182128,0.9514899945968903
shannon_h,-0.1663602124682637,0.10189999036401227,-0.7404963538328211,0.9442963345608457
shannon_h,-0.15200454970473798,0.09417401972544176,-0.7488956708874772,0.9372437103383606
shannon_h,-0.13764888694121225,0.08643194270981178,-0.7574712738283839,0.9303351592480075
shannon_h,-0.12329322417768651,0.07867814390330743,-0.7662175931621744,0.9235738809687892
shannon_h,-0.10893756141416078,0.07091700789211296,-0.7751292706201771,0.916963286404403
shannon_h,-0.09458189865063504,0.06315291926241337,-0.7842012089911489,0.9105070475159757
shannon_h,-0.08022623588710931,0.0553902626003934,-0.7934286227282408,0.9042091479290275
shannon_h,-0.06587057312358358,0.047633422492237926,-0.802807089133765,0.8980739341182408
shannon_h,-0.05151491036005784,0.03988678352413142,-0.8123325999223956,0.8921061669706585
shannon_h,-0.037159247596531886,0.032154755999755175,-0.8220014748064975,0.8863109868060078
shannon_h,-0.022803584833006152,0.024443293272583568,-0.8318022482929683,0.8806888348381354
